"anio";"jurisdiccion_de_residencia_id";"jurisdicion_residencia_nombre";"edad_madre_grupo";"instruccion_madre";"tipo_de_parto_id";"tipo_de_parto_nombre";"semana_gestacion";"intervalo_peso_al_nacer";"sexo_id";"Sexo";"nacimientos_cantidad"
2023;54;"Misiones";"6.35 a 39";"4.Secundaria/Polimodal Incompleta";1;"Simple";"5.32 a 36";"8.De 3500 y más";2;"femenino";1
2023;54;"Misiones";"6.35 a 39";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"4.1500 a 1999";2;"femenino";1
2023;54;"Misiones";"6.35 a 39";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"5.2000 a 2499";2;"femenino";5
2023;54;"Misiones";"6.35 a 39";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"6.2500 a 2999";2;"femenino";26
2023;54;"Misiones";"6.35 a 39";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"7.3000 a 3499";2;"femenino";50
2023;54;"Misiones";"6.35 a 39";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"8.De 3500 y más";2;"femenino";35
2023;6;"Buenos Aires";"5.30 a 34";"6.Terciaria/Universitaria Incompleta";1;"Simple";"7.42 y más";"7.3000 a 3499";2;"femenino";2
2023;6;"Buenos Aires";"5.30 a 34";"6.Terciaria/Universitaria Incompleta";1;"Simple";"7.42 y más";"8.De 3500 y más";2;"femenino";3
2023;70;"San Juan";"4.25 a 29";"5.Secundaria/Polimodal Completa";1;"Simple";"5.32 a 36";"3.1000 a 1499";2;"femenino";2
2023;70;"San Juan";"4.25 a 29";"5.Secundaria/Polimodal Completa";1;"Simple";"5.32 a 36";"4.1500 a 1999";2;"femenino";2
2023;6;"Buenos Aires";"5.30 a 34";"6.Terciaria/Universitaria Incompleta";1;"Simple";"8.Sin especificar";"9.Sin especificar";2;"femenino";1
2023;70;"San Juan";"4.25 a 29";"5.Secundaria/Polimodal Completa";1;"Simple";"5.32 a 36";"6.2500 a 2999";2;"femenino";12
2023;6;"Buenos Aires";"5.30 a 34";"7.Terciaria/Universitaria Completa";1;"Simple";"2.22 a 23";"2.500 a 999";2;"femenino";1
2023;6;"Buenos Aires";"5.30 a 34";"7.Terciaria/Universitaria Completa";1;"Simple";"3.24 a 27";"2.500 a 999";2;"femenino";2
2023;74;"San Luis";"6.35 a 39";"2.Primaria/C. EGB Incompleta";1;"Simple";"6.37 a 41";"8.De 3500 y más";2;"femenino";1
2023;90;"Tucumán";"4.25 a 29";"4.Secundaria/Polimodal Incompleta";1;"Simple";"4.28 a 31";"7.3000 a 3499";2;"femenino";2
2023;90;"Tucumán";"4.25 a 29";"4.Secundaria/Polimodal Incompleta";1;"Simple";"5.32 a 36";"4.1500 a 1999";2;"femenino";2
2023;30;"Entre Ríos";"7.40 a 44";"5.Secundaria/Polimodal Completa";1;"Simple";"5.32 a 36";"8.De 3500 y más";2;"femenino";1
2023;70;"San Juan";"4.25 a 29";"5.Secundaria/Polimodal Completa";1;"Simple";"7.42 y más";"7.3000 a 3499";2;"femenino";1
2023;70;"San Juan";"4.25 a 29";"6.Terciaria/Universitaria Incompleta";1;"Simple";"4.28 a 31";"4.1500 a 1999";2;"femenino";1
2023;34;"Formosa";"4.25 a 29";"8.Sin especificar";1;"Simple";"6.37 a 41";"8.De 3500 y más";2;"femenino";105
2023;6;"Buenos Aires";"7.40 a 44";"5.Secundaria/Polimodal Completa";1;"Simple";"5.32 a 36";"9.Sin especificar";2;"femenino";2
2023;22;"Chaco";"4.25 a 29";"5.Secundaria/Polimodal Completa";1;"Simple";"6.37 a 41";"9.Sin especificar";2;"femenino";3
2023;34;"Formosa";"5.30 a 34";"1.Sin instrucción";1;"Simple";"6.37 a 41";"7.3000 a 3499";2;"femenino";1
2023;90;"Tucumán";"4.25 a 29";"4.Secundaria/Polimodal Incompleta";1;"Simple";"7.42 y más";"4.1500 a 1999";2;"femenino";1
2023;86;"Santiago del Estero";"4.25 a 29";"6.Terciaria/Universitaria Incompleta";1;"Simple";"5.32 a 36";"4.1500 a 1999";2;"femenino";1
2023;86;"Santiago del Estero";"4.25 a 29";"6.Terciaria/Universitaria Incompleta";1;"Simple";"5.32 a 36";"5.2000 a 2499";2;"femenino";2
2023;34;"Formosa";"5.30 a 34";"2.Primaria/C. EGB Incompleta";1;"Simple";"5.32 a 36";"7.3000 a 3499";2;"femenino";1
2023;50;"Mendoza";"5.30 a 34";"3.Primaria/C. EGB Completa";1;"Simple";"6.37 a 41";"6.2500 a 2999";2;"femenino";41
2023;86;"Santiago del Estero";"4.25 a 29";"6.Terciaria/Universitaria Incompleta";1;"Simple";"6.37 a 41";"6.2500 a 2999";2;"femenino";6
2023;50;"Mendoza";"5.30 a 34";"3.Primaria/C. EGB Completa";1;"Simple";"6.37 a 41";"8.De 3500 y más";2;"femenino";56
2023;14;"Córdoba";"7.40 a 44";"5.Secundaria/Polimodal Completa";1;"Simple";"4.28 a 31";"4.1500 a 1999";2;"femenino";2
2023;54;"Misiones";"6.35 a 39";"7.Terciaria/Universitaria Completa";1;"Simple";"6.37 a 41";"7.3000 a 3499";2;"femenino";105
2023;54;"Misiones";"6.35 a 39";"7.Terciaria/Universitaria Completa";1;"Simple";"6.37 a 41";"8.De 3500 y más";2;"femenino";59
2023;86;"Santiago del Estero";"4.25 a 29";"7.Terciaria/Universitaria Completa";1;"Simple";"5.32 a 36";"4.1500 a 1999";2;"femenino";1
2023;54;"Misiones";"6.35 a 39";"8.Sin especificar";1;"Simple";"4.28 a 31";"3.1000 a 1499";2;"femenino";2
2023;10;"Catamarca";"5.30 a 34";"7.Terciaria/Universitaria Completa";1;"Simple";"6.37 a 41";"7.3000 a 3499";2;"femenino";66
2023;10;"Catamarca";"5.30 a 34";"7.Terciaria/Universitaria Completa";1;"Simple";"6.37 a 41";"8.De 3500 y más";2;"femenino";39
2023;10;"Catamarca";"5.30 a 34";"8.Sin especificar";1;"Simple";"6.37 a 41";"7.3000 a 3499";2;"femenino";1
2023;10;"Catamarca";"5.30 a 34";"8.Sin especificar";1;"Simple";"6.37 a 41";"8.De 3500 y más";2;"femenino";1
2023;10;"Catamarca";"6.35 a 39";"2.Primaria/C. EGB Incompleta";1;"Simple";"3.24 a 27";"1.Menor de 500";2;"femenino";1
2023;10;"Catamarca";"6.35 a 39";"2.Primaria/C. EGB Incompleta";1;"Simple";"5.32 a 36";"7.3000 a 3499";2;"femenino";1
2023;10;"Catamarca";"6.35 a 39";"2.Primaria/C. EGB Incompleta";1;"Simple";"6.37 a 41";"7.3000 a 3499";2;"femenino";3
2023;10;"Catamarca";"6.35 a 39";"2.Primaria/C. EGB Incompleta";1;"Simple";"6.37 a 41";"8.De 3500 y más";2;"femenino";1
2023;10;"Catamarca";"6.35 a 39";"3.Primaria/C. EGB Completa";1;"Simple";"5.32 a 36";"4.1500 a 1999";2;"femenino";1
2023;10;"Catamarca";"6.35 a 39";"3.Primaria/C. EGB Completa";1;"Simple";"5.32 a 36";"5.2000 a 2499";2;"femenino";1
2023;10;"Catamarca";"6.35 a 39";"3.Primaria/C. EGB Completa";1;"Simple";"5.32 a 36";"6.2500 a 2999";2;"femenino";1
2023;86;"Santiago del Estero";"5.30 a 34";"2.Primaria/C. EGB Incompleta";1;"Simple";"5.32 a 36";"5.2000 a 2499";2;"femenino";2
2023;86;"Santiago del Estero";"5.30 a 34";"2.Primaria/C. EGB Incompleta";1;"Simple";"5.32 a 36";"8.De 3500 y más";2;"femenino";3
2023;10;"Catamarca";"6.35 a 39";"3.Primaria/C. EGB Completa";1;"Simple";"6.37 a 41";"8.De 3500 y más";2;"femenino";8
2023;10;"Catamarca";"6.35 a 39";"4.Secundaria/Polimodal Incompleta";1;"Simple";"5.32 a 36";"8.De 3500 y más";2;"femenino";1
2023;10;"Catamarca";"6.35 a 39";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"6.2500 a 2999";2;"femenino";7
2023;86;"Santiago del Estero";"5.30 a 34";"3.Primaria/C. EGB Completa";1;"Simple";"3.24 a 27";"2.500 a 999";2;"femenino";1
2023;86;"Santiago del Estero";"5.30 a 34";"3.Primaria/C. EGB Completa";1;"Simple";"5.32 a 36";"3.1000 a 1499";2;"femenino";1
2023;10;"Catamarca";"6.35 a 39";"5.Secundaria/Polimodal Completa";1;"Simple";"5.32 a 36";"3.1000 a 1499";2;"femenino";1
2023;10;"Catamarca";"6.35 a 39";"5.Secundaria/Polimodal Completa";1;"Simple";"5.32 a 36";"5.2000 a 2499";2;"femenino";1
2023;70;"San Juan";"5.30 a 34";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"6.2500 a 2999";2;"femenino";43
2023;70;"San Juan";"5.30 a 34";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"7.3000 a 3499";2;"femenino";86
2023;70;"San Juan";"5.30 a 34";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"8.De 3500 y más";2;"femenino";65
2023;22;"Chaco";"5.30 a 34";"1.Sin instrucción";1;"Simple";"6.37 a 41";"5.2000 a 2499";2;"femenino";1
2023;18;"Corrientes";"5.30 a 34";"6.Terciaria/Universitaria Incompleta";1;"Simple";"5.32 a 36";"7.3000 a 3499";2;"femenino";1
2023;18;"Corrientes";"5.30 a 34";"6.Terciaria/Universitaria Incompleta";1;"Simple";"5.32 a 36";"8.De 3500 y más";2;"femenino";1
